time_raw,price,load_kw,pv_kw,interval,net_load_kwh
00:10:00,0.4248,3439.8466,0.0,0:00-0:10,573.3077666666666
00:20:00,0.4245,3437.9792,0.0,0:10-0:20,572.9965333333333
00:30:00,0.4269,3444.3031,0.0,0:20-0:30,574.0505166666667
00:40:00,0.4272,3454.4437,0.0,0:30-0:40,575.7406166666666
00:50:00,0.4271,3458.8273,0.0,0:40-0:50,576.4712166666666
01:00:00,0.4285,3459.8401,0.0,0:50-1:00,576.6400166666666
01:10:00,0.4311,3467.1582,0.0,1:00-1:10,577.8597
01:20:00,0.4302,3467.9632,0.0,1:10-1:20,577.9938666666667
01:30:00,0.4279,3466.9683,0.0,1:20-1:30,577.82805
01:40:00,0.4312,3482.4927,0.0,1:30-1:40,580.41545
01:50:00,0.4333,3495.0841,0.0,1:40-1:50,582.5140166666666
02:00:00,0.4311,3498.4443,0.0,1:50-2:00,583.0740499999999
02:10:00,0.4293,3505.2295,0.0,2:00-2:10,584.2049166666666
02:20:00,0.4324,3512.6387,0.0,2:10-2:20,585.4397833333333
02:30:00,0.4367,3516.8685,0.0,2:20-2:30,586.1447499999999
02:40:00,0.4348,3517.9246,0.0,2:30-2:40,586.3207666666666
02:50:00,0.4335,3518.5518,0.0,2:40-2:50,586.4253
03:00:00,0.4357,3521.0976,0.0,2:50-3:00,586.8496
03:10:00,0.4374,3526.9261,0.0,3:00-3:10,587.8210166666667
03:20:00,0.4371,3537.2854,0.0,3:10-3:20,589.5475666666666
03:30:00,0.4356,3544.8808,0.0,3:20-3:30,590.8134666666666
03:40:00,0.4353,3541.2787,0.0,3:30-3:40,590.2131166666666
03:50:00,0.436,3546.3976,0.0,3:40-3:50,591.0662666666666
04:00:00,0.4378,3560.207,0.0,3:50-4:00,593.3678333333332
04:10:00,0.4401,3561.9581,0.0,4:00-4:10,593.6596833333333
04:20:00,0.4389,3556.7183,0.0,4:10-4:20,592.7863833333333
04:30:00,0.4364,3560.0272,0.0,4:20-4:30,593.3378666666666
04:40:00,0.4393,3580.654,0.5994,4:30-4:40,596.6757666666666
04:50:00,0.4422,3586.916,0.2345,4:40-4:50,597.78025
05:00:00,0.4395,3571.2635,0.2885,4:50-5:00,595.1624999999999
05:10:00,0.4333,3562.3171,18.6781,5:00-5:10,590.6065
05:20:00,0.4439,3591.3809,54.4698,5:10-5:20,589.4851833333333
05:30:00,0.4301,3579.7045,108.9718,5:20-5:30,578.4554499999999
05:40:00,0.3713,3486.119,184.1603,5:30-5:40,550.3264499999999
05:50:00,0.5708,3823.8994,277.0582,5:40-5:50,591.1401999999999
06:00:00,0.9099,4398.0727,388.5494,5:50-6:00,668.2538833333332
06:10:00,0.9368,4454.0123,521.2803,6:00-6:10,655.4553333333333
06:20:00,0.8758,4371.7919,672.7677,6:10-6:20,616.5040333333334
06:30:00,0.8759,4392.953,844.2261,6:20-6:30,591.4544833333334
06:40:00,0.8601,4384.5956,1039.6744,6:30-6:40,557.4868666666666
06:50:00,0.8442,4434.7757,1259.3375,6:40-6:50,529.2397
07:00:00,0.8334,4523.4561,1508.6318,6:50-7:00,502.4707166666667
07:10:00,0.8092,4524.0721,1791.4107,7:00-7:10,455.4435666666667
07:20:00,0.7972,4545.8867,2085.4865,7:10-7:20,410.0667
07:30:00,0.7644,4523.2418,2381.2611,7:20-7:30,356.99678333333327
07:40:00,0.6899,4383.3566,2683.1752,7:30-7:40,283.36356666666666
07:50:00,0.86,4910.4599,2986.3552,7:40-7:50,320.68411666666657
08:00:00,1.1617,5799.7327,3289.204,7:50-8:00,418.42144999999994
08:10:00,1.1683,5884.826,3593.3613,8:00-8:10,381.91078333333326
08:20:00,1.0956,5748.0713,3890.7332,8:10-8:20,309.55634999999995
08:30:00,1.0849,5769.0581,4181.3417,8:20-8:30,264.61940000000004
08:40:00,1.061,5754.2105,4471.7657,8:30-8:40,213.74080000000004
08:50:00,1.043,5824.1807,4752.8272,8:40-8:50,178.55891666666673
09:00:00,1.036,5954.2601,5021.9074,8:50-9:00,155.39211666666677
09:10:00,1.0147,5958.9696,5285.4126,9:00-9:10,112.25950000000012
09:20:00,0.9922,5929.5554,5543.1742,9:10-9:20,64.3968666666666
09:30:00,0.97,5923.7828,5788.4093,9:20-9:30,22.56224999999995
09:40:00,0.9422,5907.586,6012.1304,9:30-9:40,-17.42406666666659
09:50:00,0.9569,5899.1262,6216.1528,9:40-9:50,-52.83776666666654
10:00:00,0.9977,5902.2196,6409.5941,9:50-10:00,-84.56241666666665
10:10,0.9919,5897.4793,6599.3808,10:00-10:10,-116.9835833333334
10:20,0.9588,5886.7568,6766.7204,10:10-10:20,-146.66060000000004
10:30,0.9549,5873.4708,6914.5923,10:20-10:30,-173.52024999999992
10:40,0.9839,5858.0308,7064.2053,10:30-10:40,-201.02908333333323
10:50,0.799,5844.9948,7197.4315,10:40-10:50,-225.40611666666655
11:00,0.5025,5839.0587,7303.1142,10:50-11:00,-244.00925000000007
11:10,0.4662,5838.7103,7387.6848,11:00-11:10,-258.1624166666668
11:20,0.5007,5823.4378,7459.227,11:10-11:20,-272.6315333333332
11:30,0.4827,5814.7932,7520.7191,11:20-11:30,-284.3209833333333
11:40,0.4785,5832.3951,7568.2039,11:30-11:40,-289.3014666666668
11:50,0.4662,5712.901,7592.1539,11:40-11:50,-313.20881666666673
12:00,0.4432,5519.4607,7601.0433,11:50-12:00,-346.9304333333333
12:10,0.4411,5494.7907,7612.316,12:00-12:10,-352.92088333333334
12:20,0.4551,5514.4524,7602.6524,12:10-12:20,-348.0333333333333
12:30,0.4463,5485.829,7554.1872,12:20-12:30,-344.72636666666665
12:40,0.4113,5462.3628,7472.7384,12:30-12:40,-335.0626000000001
12:50,0.5682,5566.1066,7393.4172,12:40-12:50,-304.5517666666665
13:00,0.8279,5725.7548,7312.7979,12:50-13:00,-264.5071833333334
13:10,0.8636,5739.4957,7194.541,13:00-13:10,-242.50754999999992
13:20,0.8416,5714.6836,7053.1371,13:10-13:20,-223.07558333333316
