days,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,surplus_kwh,month
28,1283014.0899658469,73600.27199661871,1356614.3619624656,16839.85430493273,298059.21965015004,2025-02
31,1135324.0252754888,85859.3018563462,1221183.327131835,21112.860751855125,292151.91017203405,2025-03
30,938593.5229088091,99646.22339055137,1038239.7462993604,23025.481956158776,323410.53927093674,2025-04
31,969594.1700831408,108354.36819747192,1077948.5382806128,25259.349860847804,388571.0259551804,2025-05
30,1299354.0318675758,239130.63570150215,1538484.667569078,53443.571136555576,330170.2837748947,2025-06
31,1491003.0977501785,182379.38909272224,1673382.4868429007,43960.14996877603,395818.53180499794,2025-07
31,1305890.3617250843,95109.1777531376,1400999.539478222,22172.073286855382,433982.0184316079,2025-08
30,1135393.8358592559,125579.64805647155,1260973.4839157276,27863.25294086899,389389.70163743175,2025-09
31,1143102.6663434578,83118.36587991947,1226221.0322233774,19332.598295715306,332156.1628926136,2025-10
30,1289723.7117235647,77677.46230509863,1367401.1740286632,18553.176951336976,229360.84736040552,2025-11
31,1679145.8995022841,114260.9494646549,1793406.8489669391,29947.37883238449,225708.5729882224,2025-12
