date,mode,terminal_value_raw_yuan_per_kwh,terminal_value_used_yuan_per_kwh,finite_diff_E_low_kwh,finite_diff_E_high_kwh,finite_diff_J_low_yuan,finite_diff_J_high_yuan,finite_diff_low_mip_gap,finite_diff_high_mip_gap,finite_diff_low_solver_time_s,finite_diff_high_solver_time_s,E_start_kwh,E_plan_end_kwh,E_real_end_kwh,real_E_min_kwh,real_E_max_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,solver_elapsed_s,solver_mip_gap,sampled_residual_days,sampled_residual_dates,training_cutoff,scenario_count,horizon_hours,max_residual_kwh,max_real_state_residual_kwh,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-02-01,fixed_v_0,,0.0,,,,,,,,,6000.0,1200.0,2878.9351689015043,2878.9351689015043,10800.0,28689.47405326263,0.0,28689.47405326263,0.0,17406.11622269549,12694.408754260188,13091.429438939398,0.16884440000285394,0.0,"[19, 25, 29, 24, 29, 9, 25, 12, 12, 27]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30"", ""2025-01-25"", ""2025-01-30"", ""2025-01-10"", ""2025-01-26"", ""2025-01-13"", ""2025-01-13"", ""2025-01-28""]",2025-01-31,10,24,7.958078640513122e-13,7.958078640513122e-13,0,0,0,833.3333333333333,552.0416666666666
2025-02-01,fixed_v_0.3,,0.3,,,,,,,,,6000.0,1200.0,2878.9351689015043,2878.9351689015043,10800.0,28689.47405326263,0.0,28689.47405326263,0.0,17406.11622269549,12694.408754260188,13091.429438939398,0.14874069998040795,0.0,"[19, 25, 29, 24, 29, 9, 25, 12, 12, 27]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30"", ""2025-01-25"", ""2025-01-30"", ""2025-01-10"", ""2025-01-26"", ""2025-01-13"", ""2025-01-13"", ""2025-01-28""]",2025-01-31,10,24,7.958078640513122e-13,7.958078640513122e-13,0,0,0,833.3333333333333,552.0416666666666
2025-02-01,fixed_v_0.5,,0.5,,,,,,,,,6000.0,10800.0,10800.0,2878.9351689015043,10800.0,33199.43472180968,0.0,33199.43472180968,0.0,19311.310155180567,21495.591899925184,13091.429438939398,0.2543715999927372,0.0,"[19, 25, 29, 24, 29, 9, 25, 12, 12, 27]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30"", ""2025-01-25"", ""2025-01-30"", ""2025-01-10"", ""2025-01-26"", ""2025-01-13"", ""2025-01-13"", ""2025-01-28""]",2025-01-31,10,24,1.7621459846850485e-12,9.094947017729282e-13,0,0,0,833.3333333333333,552.0416666666666
2025-02-01,fixed_v_0.8,,0.8,,,,,,,,,6000.0,10800.0,10800.0,2878.9351689015043,10800.0,33199.43472180968,0.0,33199.43472180968,0.0,19311.310155180567,21495.591899925184,13091.429438939398,0.21840040001552552,0.0,"[19, 25, 29, 24, 29, 9, 25, 12, 12, 27]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30"", ""2025-01-25"", ""2025-01-30"", ""2025-01-10"", ""2025-01-26"", ""2025-01-13"", ""2025-01-13"", ""2025-01-28""]",2025-01-31,10,24,1.7621459846850485e-12,9.094947017729282e-13,0,0,0,833.3333333333333,552.0416666666666
2025-02-01,fixed_v_1,,1.0,,,,,,,,,6000.0,10800.0,10800.0,2878.9351689015043,10800.0,33199.43472180968,0.0,33199.43472180968,0.0,19311.310155180567,21495.591899925184,13091.429438939398,0.2591169999795966,0.0,"[19, 25, 29, 24, 29, 9, 25, 12, 12, 27]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30"", ""2025-01-25"", ""2025-01-30"", ""2025-01-10"", ""2025-01-26"", ""2025-01-13"", ""2025-01-13"", ""2025-01-28""]",2025-01-31,10,24,1.7621459846850485e-12,9.094947017729282e-13,0,0,0,833.3333333333333,552.0416666666666
2025-02-01,dynamic_v,0.47544444444443795,0.47544444444443795,6000.0,6100.0,49480.89350638823,49433.34906194379,1.4704580088563e-16,0.0,0.014279099996201694,0.05282809998607263,6000.0,9450.0,10800.0,2878.9351689015043,10800.0,32542.310657287904,0.0,32542.310657287904,0.0,17772.980638295267,21495.591899925184,13091.429438939398,0.27034739998634905,0.0,"[19, 25, 29, 24, 29, 9, 25, 12, 12, 27]","[""2025-01-20"", ""2025-01-26"", ""2025-01-30"", ""2025-01-25"", ""2025-01-30"", ""2025-01-10"", ""2025-01-26"", ""2025-01-13"", ""2025-01-13"", ""2025-01-28""]",2025-01-31,10,24,1.7621459846850485e-12,9.094947017729282e-13,0,0,0,833.3333333333333,552.0416666666666
2025-02-02,fixed_v_0,,0.0,,,,,,,,,2878.9351689015043,1200.0,2096.4116296296297,2096.4116296296297,10800.0,63277.156941547655,151.93652931079376,63429.09347085845,45.24672964934439,17032.404559182956,18192.25583818805,15439.998414277004,1.319038299989188,0.0,"[11, 8, 4, 5, 22, 2, 12, 24, 25, 2]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05"", ""2025-01-06"", ""2025-01-23"", ""2025-01-03"", ""2025-01-13"", ""2025-01-25"", ""2025-01-26"", ""2025-01-03""]",2025-02-01,10,24,6.548361852765083e-11,9.094947017729282e-13,0,0,0,833.3333333333333,769.6522535525422
2025-02-02,fixed_v_0.3,,0.3,,,,,,,,,2878.9351689015043,1200.0,2096.4116296296297,2096.4116296296297,10800.0,63277.1569415477,151.93652931079498,63429.0934708585,45.24672964934496,17032.404559183055,18192.255838188044,15439.998414277003,1.2493777999770828,0.0,"[11, 8, 4, 5, 22, 2, 12, 24, 25, 2]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05"", ""2025-01-06"", ""2025-01-23"", ""2025-01-03"", ""2025-01-13"", ""2025-01-25"", ""2025-01-26"", ""2025-01-03""]",2025-02-01,10,24,1.1368683772161603e-12,9.094947017729282e-13,0,0,0,833.3333333333333,769.6522535525422
2025-02-02,fixed_v_0.5,,0.5,,,,,,,,,10800.0,10800.0,10800.0,2096.4116296296297,10800.0,64086.10936965521,151.93652931079498,64238.04589896601,45.24672964934496,18141.923346418298,19061.726437379017,15439.998414277004,0.2554311999992933,0.0,"[11, 8, 4, 5, 22, 2, 12, 24, 25, 2]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05"", ""2025-01-06"", ""2025-01-23"", ""2025-01-03"", ""2025-01-13"", ""2025-01-25"", ""2025-01-26"", ""2025-01-03""]",2025-02-01,10,24,1.1368683772161603e-12,9.094947017729282e-13,0,0,0,833.3333333333333,769.6522535525422
2025-02-02,fixed_v_0.8,,0.8,,,,,,,,,10800.0,10800.0,10800.0,2096.4116296296297,10800.0,64086.10936965521,151.93652931079498,64238.04589896601,45.24672964934496,18141.923346418298,19061.726437379017,15439.998414277004,0.21273510000901297,0.0,"[11, 8, 4, 5, 22, 2, 12, 24, 25, 2]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05"", ""2025-01-06"", ""2025-01-23"", ""2025-01-03"", ""2025-01-13"", ""2025-01-25"", ""2025-01-26"", ""2025-01-03""]",2025-02-01,10,24,1.1368683772161603e-12,9.094947017729282e-13,0,0,0,833.3333333333333,769.6522535525422
2025-02-02,fixed_v_1,,1.0,,,,,,,,,10800.0,10800.0,10800.0,2096.4116296296297,10800.0,64086.10936965521,151.93652931079498,64238.04589896601,45.24672964934496,18141.923346418294,19061.72643737902,15439.998414277004,0.22418620000826195,0.0,"[11, 8, 4, 5, 22, 2, 12, 24, 25, 2]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05"", ""2025-01-06"", ""2025-01-23"", ""2025-01-03"", ""2025-01-13"", ""2025-01-25"", ""2025-01-26"", ""2025-01-03""]",2025-02-01,10,24,1.8189894035458565e-12,9.094947017729282e-13,0,0,0,833.3333333333333,769.6522535525422
2025-02-02,dynamic_v,0.41255555555551837,0.41255555555551837,10700.0,10800.0,48979.83398140871,48938.57842585316,0.0,0.0,0.0473993000050541,0.038648600020678714,10800.0,1200.0,2096.4116296296297,2096.4116296296297,10800.0,59304.18464300147,151.93652931079498,59456.12117231227,45.24672964934496,16461.72661163457,9391.072692523054,15439.998414277004,0.2525315000093542,0.0,"[11, 8, 4, 5, 22, 2, 12, 24, 25, 2]","[""2025-01-12"", ""2025-01-09"", ""2025-01-05"", ""2025-01-06"", ""2025-01-23"", ""2025-01-03"", ""2025-01-13"", ""2025-01-25"", ""2025-01-26"", ""2025-01-03""]",2025-02-01,10,24,1.1368683772161603e-12,9.094947017729282e-13,0,0,0,833.3333333333333,769.6522535525422
