date,mode,terminal_value_raw_yuan_per_kwh,terminal_value_used_yuan_per_kwh,finite_diff_E_low_kwh,finite_diff_E_high_kwh,finite_diff_J_low_yuan,finite_diff_J_high_yuan,finite_diff_low_mip_gap,finite_diff_high_mip_gap,finite_diff_low_solver_time_s,finite_diff_high_solver_time_s,E_start_kwh,E_plan_end_kwh,E_real_end_kwh,real_E_min_kwh,real_E_max_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,solver_elapsed_s,solver_mip_gap,sampled_residual_days,sampled_residual_dates,training_cutoff,scenario_count,horizon_hours,max_residual_kwh,max_real_state_residual_kwh,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-05-01,fixed_v_0,,0.0,,,,,,,,,7423.004868558481,1200.0,1200.0,1200.0,10800.0,30587.78162542081,18620.246250846034,49208.027876266846,4121.975776198495,6340.454161858555,12175.863650772983,15463.153938828746,0.22116740001365542,0.0,"[100, 92, 112, 100, 57, 111, 80, 89, 113, 106]","[""2025-04-11"", ""2025-04-03"", ""2025-04-23"", ""2025-04-11"", ""2025-02-27"", ""2025-04-22"", ""2025-03-22"", ""2025-03-31"", ""2025-04-24"", ""2025-04-17""]",2025-04-30,10,24,1.5489831639570184e-12,9.094947017729282e-13,0,0,0,833.3333333333333,755.1530320479947
2025-05-01,fixed_v_0.3,,0.3,,,,,,,,,7423.004868558481,1200.0,1200.0,1200.0,10800.0,30587.78162542081,18620.246250846034,49208.027876266846,4121.975776198495,6340.454161858555,12175.863650772983,15463.153938828746,0.1929680000175722,0.0,"[100, 92, 112, 100, 57, 111, 80, 89, 113, 106]","[""2025-04-11"", ""2025-04-03"", ""2025-04-23"", ""2025-04-11"", ""2025-02-27"", ""2025-04-22"", ""2025-03-22"", ""2025-03-31"", ""2025-04-24"", ""2025-04-17""]",2025-04-30,10,24,1.5489831639570184e-12,9.094947017729282e-13,0,0,0,833.3333333333333,755.1530320479947
2025-05-01,fixed_v_0.5,,0.5,,,,,,,,,7423.004868558481,10800.0,10327.423781808604,1200.0,10800.0,35238.632983756754,16923.237933891014,52161.87091764777,3320.776179336544,6427.681136061059,22317.445630560316,15463.153938828746,0.17337900001439266,1.6051261167804045e-07,"[100, 92, 112, 100, 57, 111, 80, 89, 113, 106]","[""2025-04-11"", ""2025-04-03"", ""2025-04-23"", ""2025-04-11"", ""2025-02-27"", ""2025-04-22"", ""2025-03-22"", ""2025-03-31"", ""2025-04-24"", ""2025-04-17""]",2025-04-30,10,24,1.5489831639570184e-12,9.094947017729282e-13,0,0,0,833.3333333333333,755.1530320479947
2025-05-01,fixed_v_0.8,,0.8,,,,,,,,,7423.004868558481,10800.0,10327.423781808604,1200.0,10800.0,35238.632983756754,16923.237933891014,52161.87091764777,3320.776179336544,6427.681136061059,22317.445630560316,15463.153938828746,0.17107659997418523,1.7944637716610784e-07,"[100, 92, 112, 100, 57, 111, 80, 89, 113, 106]","[""2025-04-11"", ""2025-04-03"", ""2025-04-23"", ""2025-04-11"", ""2025-02-27"", ""2025-04-22"", ""2025-03-22"", ""2025-03-31"", ""2025-04-24"", ""2025-04-17""]",2025-04-30,10,24,1.5489831639570184e-12,9.094947017729282e-13,0,0,0,833.3333333333333,755.1530320479947
2025-05-01,fixed_v_1,,1.0,,,,,,,,,7423.004868558481,10800.0,10327.423781808604,1200.0,10800.0,35238.632983756754,16923.237933891014,52161.87091764777,3320.776179336544,6427.681136061059,22317.445630560316,15463.153938828746,0.19002619999810122,0.0,"[100, 92, 112, 100, 57, 111, 80, 89, 113, 106]","[""2025-04-11"", ""2025-04-03"", ""2025-04-23"", ""2025-04-11"", ""2025-02-27"", ""2025-04-22"", ""2025-03-22"", ""2025-03-31"", ""2025-04-24"", ""2025-04-17""]",2025-04-30,10,24,1.5489831639570184e-12,9.094947017729282e-13,0,0,0,833.3333333333333,755.1530320479947
2025-05-01,dynamic_v,0.39365999999999984,0.39365999999999984,7423.004868558481,7523.004868558481,11594.461919963072,11555.095919963072,0.0,0.0,0.019540100009180605,0.0203099999926053,7423.004868558481,1200.0,1200.0,1200.0,10800.0,30587.78162542081,18620.246250846034,49208.027876266846,4121.975776198495,6340.454161858555,12175.863650772983,15463.153938828746,0.18897840002318844,0.0,"[100, 92, 112, 100, 57, 111, 80, 89, 113, 106]","[""2025-04-11"", ""2025-04-03"", ""2025-04-23"", ""2025-04-11"", ""2025-02-27"", ""2025-04-22"", ""2025-03-22"", ""2025-03-31"", ""2025-04-24"", ""2025-04-17""]",2025-04-30,10,24,1.5489831639570184e-12,9.094947017729282e-13,0,0,0,833.3333333333333,755.1530320479947
2025-05-02,fixed_v_0,,0.0,,,,,,,,,1200.0,1200.0,1726.960773780199,1200.0,10800.0,17326.32264368944,1279.8966265426764,18606.219270232115,311.6512960881076,15172.00260168329,13171.176776658023,10194.38849269082,0.11848929998814128,0.0,"[106, 96, 117, 102, 70, 102, 116, 102, 77, 86]","[""2025-04-17"", ""2025-04-07"", ""2025-04-28"", ""2025-04-13"", ""2025-03-12"", ""2025-04-13"", ""2025-04-27"", ""2025-04-13"", ""2025-03-19"", ""2025-03-28""]",2025-05-01,10,24,2.0829573139836267e-12,9.094947017729282e-13,0,0,0,833.3333333333333,544.9416666666666
2025-05-02,fixed_v_0.3,,0.3,,,,,,,,,1200.0,1200.0,1726.960773780199,1200.0,10800.0,17326.32264368944,1279.8966265426764,18606.219270232115,311.6512960881076,15172.002601683289,13171.176776658025,10194.38849269082,0.13063870000769384,0.0,"[106, 96, 117, 102, 70, 102, 116, 102, 77, 86]","[""2025-04-17"", ""2025-04-07"", ""2025-04-28"", ""2025-04-13"", ""2025-03-12"", ""2025-04-13"", ""2025-04-27"", ""2025-04-13"", ""2025-03-19"", ""2025-03-28""]",2025-05-01,10,24,4.94460028477306e-12,9.094947017729282e-13,0,0,0,833.3333333333333,544.9416666666666
2025-05-02,fixed_v_0.5,,0.5,,,,,,,,,10327.423781808604,10800.0,10800.0,1726.960773780199,10800.0,18088.967189685223,970.6735073112677,19059.640696996492,166.50910647675119,15883.236546587414,19245.36487275075,15163.426950555851,0.22089470000355504,0.0,"[106, 96, 117, 102, 70, 102, 116, 102, 77, 86]","[""2025-04-17"", ""2025-04-07"", ""2025-04-28"", ""2025-04-13"", ""2025-03-12"", ""2025-04-13"", ""2025-04-27"", ""2025-04-13"", ""2025-03-19"", ""2025-03-28""]",2025-05-01,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,544.9416666666666
2025-05-02,fixed_v_0.8,,0.8,,,,,,,,,10327.423781808604,10800.0,10800.0,1726.960773780199,10800.0,18088.967189685223,970.6735073112677,19059.640696996492,166.50910647675119,15883.236546587414,19245.364872750746,15163.426950555853,0.09194499999284744,0.0,"[106, 96, 117, 102, 70, 102, 116, 102, 77, 86]","[""2025-04-17"", ""2025-04-07"", ""2025-04-28"", ""2025-04-13"", ""2025-03-12"", ""2025-04-13"", ""2025-04-27"", ""2025-04-13"", ""2025-03-19"", ""2025-03-28""]",2025-05-01,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,544.9416666666666
2025-05-02,fixed_v_1,,1.0,,,,,,,,,10327.423781808604,10800.0,10800.0,1726.960773780199,10800.0,18088.967189685223,970.6735073112677,19059.640696996492,166.50910647675119,15883.236546587414,19245.364872750746,15163.426950555853,0.0917654000222683,0.0,"[106, 96, 117, 102, 70, 102, 116, 102, 77, 86]","[""2025-04-17"", ""2025-04-07"", ""2025-04-28"", ""2025-04-13"", ""2025-03-12"", ""2025-04-13"", ""2025-04-27"", ""2025-04-13"", ""2025-03-19"", ""2025-03-28""]",2025-05-01,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,544.9416666666666
2025-05-02,dynamic_v,0.4720000000000073,0.4720000000000073,1200.0,1300.0,13414.01810077551,13366.81810077551,0.0,0.0,0.018160400009946898,0.025355000019771978,1200.0,7200.0,7694.664130314659,1200.0,10800.0,20127.248951862988,1189.8952092910688,21317.144161154058,268.447352476703,15209.297429784672,19801.95828391853,10194.38849269082,0.12282310001319274,0.0,"[106, 96, 117, 102, 70, 102, 116, 102, 77, 86]","[""2025-04-17"", ""2025-04-07"", ""2025-04-28"", ""2025-04-13"", ""2025-03-12"", ""2025-04-13"", ""2025-04-27"", ""2025-04-13"", ""2025-03-19"", ""2025-03-28""]",2025-05-01,10,24,9.094947017729282e-13,9.094947017729282e-13,0,0,0,833.3333333333333,544.9416666666666
