window,mode,days,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,surplus_kwh,charge_exec_kwh,discharge_exec_kwh,E_start_kwh,E_end_kwh,E_min_kwh,E_max_kwh,mean_terminal_value,solver_time_s,max_residual_kwh,cost_delta_vs_fixed_v0_yuan,emergency_cost_delta_vs_fixed_v0_yuan
冬季_02月,dynamic_v,14,733709.3602296863,684745.7080789746,48963.65215071167,10671.287533273357,169473.96863014408,265001.04283729364,217541.3385146313,6000.0,2788.340203974028,1200.0,10800.0,0.4623163165226313,8.448646300064865,1.546140993013978e-11,-1207.5710279186023,-404.48517092304974
冬季_02月,fixed_v_0,14,734916.9312576049,685548.7939359702,49368.13732163472,10755.73034683099,169768.90801575358,264939.5963090461,217491.5668267507,6000.0,2788.340203974028,1200.0,10800.0,0.0,13.32161929999711,1.4551915228366852e-10,0.0,0.0
冬季_02月,fixed_v_0.3,14,735109.5014256404,685734.3888027413,49375.112622899134,10762.176604791592,170025.27544097204,264939.5963090461,217491.56682675076,6000.0,2788.340203974028,1200.0,10800.0,0.3,12.0544535999652,3.2105162972584367e-10,192.57016803557053,6.975301264414156
冬季_02月,fixed_v_0.5,14,742408.8583440663,694059.1926694401,48349.6656746262,10510.455166316044,182177.3463633401,273976.5226322027,217600.9833320842,6000.0,10800.0,1200.0,10800.0,0.5,5.768975399987539,3.637978807091713e-12,7491.927086461452,-1018.4716470085186
冬季_02月,fixed_v_0.8,14,743835.9214846767,695461.8019497788,48374.1195348978,10523.627189085551,185249.1657077097,273976.5226322027,217600.9833320842,6000.0,10800.0,1200.0,10800.0,0.8,4.752794000058202,2.387423592153937e-12,8918.990227071801,-994.0177867369202
冬季_02月,fixed_v_1,14,743847.0892328573,695486.7574868255,48360.33174603191,10520.35062329043,185275.5416336525,273976.5226322027,217600.9833320842,6000.0,10800.0,1200.0,10800.0,1.0,4.473386600060621,3.637978807091713e-12,8930.157975252485,-1007.8055756028116
夏季_08月,dynamic_v,14,644400.8720021264,607218.9607990498,37181.9112030766,8797.128513945852,207134.58594243223,224204.29804195973,183015.13430708295,5016.28099232843,3450.0,1200.0,10800.0,0.4587108551523124,5.475720200018259,7.048583938740194e-12,739.9887671052711,147.74747543975536
夏季_08月,fixed_v_0,14,643660.8832350211,606626.7195073842,37034.16372763684,8737.155998254066,206613.62440756065,221704.29804195976,183015.134307083,5016.28099232843,1200.0,1200.0,10800.0,0.0,7.46814730000915,2.182787284255028e-11,0.0,0.0
夏季_08月,fixed_v_0.3,14,643641.7240935412,606607.5603659044,37034.16372763681,8737.15599825406,206593.1326506801,221704.29804195976,183015.134307083,5016.28099232843,1200.0,1200.0,10800.0,0.3,7.469106599979568,2.273736754432321e-11,-19.159141479991376,-2.9103830456733704e-11
夏季_08月,fixed_v_0.5,14,653832.0257000391,617511.7892303988,36320.236469640295,8445.104730795098,220265.90721970637,248002.3322024289,195678.21375485777,5016.28099232843,10798.142469116936,1200.0,10800.0,0.5,3.632648799975868,8.71978045324795e-12,10171.142465017969,-713.9272579965473
夏季_08月,fixed_v_0.8,14,655647.8626039359,619458.4368334075,36189.4257705283,8447.329088353961,224344.2007408551,248354.64764671127,195963.58926472656,5016.28099232843,10798.142469116936,1200.0,10800.0,0.8,3.1906162000377662,6.849631972727366e-12,11986.979368914734,-844.7379571085403
夏季_08月,fixed_v_1,14,655693.7196581155,619446.9725698626,36246.74708825288,8459.556331895892,224344.2007408551,248354.64764671127,195963.58926472656,5016.28099232843,10798.142469116936,1200.0,10800.0,1.0,3.41792209999403,6.849631972727366e-12,12032.836423094384,-787.4166393839623
春季_05月,dynamic_v,14,521503.8359056112,450583.16397829726,70920.6719273139,16078.652825102232,156873.18071512194,230023.11466287836,189557.6682610673,7423.004868558481,3824.176663963111,1200.0,10800.0,0.4576411111111104,4.784760800132062,2.4016344468691386e-12,555.2379840649664,-1473.5163278435066
春季_05月,fixed_v_0,14,520948.5979215462,448554.4096663888,72394.18825515741,16799.408485908378,155541.93736798142,219957.14392817495,183416.923050108,7423.004868558481,1587.8532371293236,1200.0,10800.0,0.0,6.276884200022323,2.131628207280301e-12,0.0,0.0
春季_05月,fixed_v_0.3,14,520948.1994911474,448554.5092739885,72393.69021715884,16799.25968459423,155541.93736798147,219957.14392817495,183416.923050108,7423.004868558481,1587.8532371293231,1200.0,10800.0,0.3,7.6805286000308115,4.94460028477306e-12,-0.3984303987817839,-0.4980379985645413
