date,max_real_balance_residual_kwh,max_real_state_residual_kwh,max_plan_state_residual_kwh,max_scenario_balance_residual_kwh,real_E_min_kwh,real_E_max_kwh,plan_E_min_kwh,plan_E_max_kwh,plan_terminal_gap_kwh,simultaneous_plan_periods,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-02-01,1.1368683772161603e-13,9.094947017729282e-13,1.5347723092418164e-12,3.979039320256561e-13,2878.9351689015043,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,552.0416666666666
2025-02-02,0.0,9.094947017729282e-13,2.0463630789890885e-12,4.547473508864641e-13,2096.4116296296297,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,769.6522535525422
2025-02-03,0.0,9.094947017729282e-13,8.435563358943909e-10,1.7905676941154525e-11,1828.0298132396372,10800.0,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,738.1149999999999
2025-02-04,0.0,9.094947017729282e-13,1.9326762412674725e-12,4.547473508864641e-13,2633.4341343103474,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,749.4092794084954
2025-02-05,0.0,8.242295734817162e-13,2.6147972675971687e-12,4.547473508864641e-13,1594.5372531682906,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,829.9639045217126
2025-02-06,2.2737367544323206e-13,9.094947017729282e-13,2.7284841053187847e-12,4.547473508864641e-13,1818.6667304184562,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-02-07,0.0,9.094947017729282e-13,2.0463630789890885e-10,1.8580006854651286e-10,2864.6211682760845,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,536.0374499999999
2025-02-08,0.0,9.094947017729282e-13,2.9558577807620168e-12,3.979039320256561e-13,3214.4118148148136,10800.0,1200.0,10800.000000000015,0.0,0,0,0,0,833.3333333333333,512.9949999999999
2025-02-09,2.2737367544323206e-13,9.094947017729282e-13,1.8189894035458565e-12,3.979039320256561e-13,1200.0,10769.46036850346,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,833.3333333333333
2025-02-10,0.0,9.094947017729282e-13,2.3874235921539366e-12,4.547473508864641e-13,1494.7666484326232,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,814.0466971107861
2025-02-11,0.0,9.094947017729282e-13,1.8189894035458565e-12,4.547473508864641e-13,1426.1132574966855,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,805.6232179450617
