date,policy,issue_slot,issue_time,training_cutoff,forecast_horizon_h,executed_h,commitment_update_cost_yuan,up_cost_yuan,down_refund_yuan,adjustment_identity_residual_kwh,up_kwh,down_kwh,solver_objective,solver_elapsed_s,solver_mip_gap,requested_scenario_count,actual_scenario_count,solve_mode,sampled_days,max_plan_state_residual_kwh,max_scenario_balance_residual_kwh,terminal_residual_kwh,simultaneous_charge_discharge,simultaneous_emergency_charge,simultaneous_emergency_surplus
2025-02-01,H24,0,00:00,2025-01-31,24.0,6,41115.37974554856,0.0,0.0,0.0,0.0,0.0,46386.913734757836,0.344662900000003,0.0,10,10,main,14;27;24;22;25;25;11;25;25;4,5.4569682106375694e-11,9.414691248821327e-12,0.0,0,0,0
2025-02-01,H24,36,06:00,2025-01-31,24.0,6,-2842.970818758596,0.0,2842.970818758596,0.0,0.0,7965.344871843034,10208.10649991533,0.2174297999999908,0.0,10,10,main,1;26;5;28;26;18;20;7;14;25,1.8189894035458565e-12,4.547473508864641e-13,0.0,0,0,0
2025-02-01,H24,72,12:00,2025-01-31,24.0,6,-1092.171035912487,0.0,1092.171035912487,3.197442310920451e-14,0.0,3782.913259473968,32743.424080204135,0.15027220000001762,3.083418571149685e-08,10,10,main,16;24;23;22;28;24;19;25;2;11,9.094947017729282e-13,4.142464149481384e-12,0.0,0,0,0
2025-02-01,H24,108,18:00,2025-01-31,24.0,6,-92.9320002200962,0.0,92.9320002200962,0.0,0.0,295.643781927549,41006.447685217376,0.5491863000002013,0.0,10,10,main,25;15;9;17;12;23;5;4;9;21,1.1937117960769683e-12,4.176214929429989e-12,0.0,0,0,0
2025-02-02,H24,0,00:00,2025-02-01,24.0,6,57410.098261350155,0.0,0.0,0.0,0.0,0.0,59667.539187360715,1.0707621999999901,5.513501000189553e-07,10,10,main,18;21;12;28;16;7;6;3;28;25,1.1368683772161603e-12,4.263256414560601e-13,0.0,0,0,0
2025-02-02,H24,36,06:00,2025-02-01,24.0,6,253.88671881229726,417.04992866096245,163.1632098486652,3.552713678800501e-14,570.965500151127,588.1801275013776,20355.348472671973,0.14908620000005612,0.0,10,10,main,24;20;19;29;24;13;9;4;21;25,1.5916157281026244e-12,2.3874235921539366e-12,0.0,0,0,0
2025-02-02,H24,72,12:00,2025-02-01,24.0,6,-625.7606559133241,0.0,625.7606559133241,1.1368683772161603e-13,0.0,1931.4576060602485,33901.8723166704,1.041587299999719,1.0034111728840463e-08,10,10,main,28;14;17;13;29;22;17;18;17;3,1.4779288903810084e-12,1.90013338396966e-10,0.0,0,0,0
2025-02-02,H24,108,18:00,2025-02-01,24.0,6,1531.7284935903306,1531.7284935903306,0.0,0.0,860.3683814330457,0.0,45956.854226529074,0.14207810000016252,0.0,10,10,main,27;12;22;24;23;20;21;9;6;13,3.637978807091713e-12,1.0231815394945443e-12,0.0,0,0,0
2025-02-03,H24,0,00:00,2025-02-02,24.0,6,60297.481589592746,0.0,0.0,0.0,0.0,0.0,61636.26249615063,0.85937180000019,0.0,10,10,main,22;28;27;30;24;8;21;12;15;13,9.094947017729282e-13,4.547473508864641e-13,0.0,0,0,0
2025-02-03,H24,36,06:00,2025-02-02,24.0,6,-625.8698714240447,0.0,625.8698714240447,1.0658141036401503e-14,0.0,2130.1042685167145,15287.28164220627,0.13763280000011946,0.0,10,10,main,18;2;12;30;24;2;22;9;26;30,1.8189894035458565e-12,1.2505552149377763e-12,0.0,0,0,0
2025-02-03,H24,72,12:00,2025-02-02,24.0,6,2480.028246543902,2898.5443944092194,418.5161478653175,0.0,1897.3316569998249,1631.8752568376403,34251.15809893992,0.13122549999980038,0.0,10,10,main,7;5;27;18;5;29;21;20;18;9,7.958078640513122e-13,3.979039320256561e-13,0.0,0,0,0
2025-02-03,H24,108,18:00,2025-02-02,24.0,6,-6.028963862419779,0.0,6.028963862419779,0.0,0.0,11.476653010136488,47530.40293338702,1.113883800000167,0.0,10,10,main,27;30;16;12;15;5;15;30;2;30,3.8198777474462986e-11,1.7053025658242404e-12,0.0,0,0,0
2025-02-04,H24,0,00:00,2025-02-03,24.0,6,62396.49714740237,0.0,0.0,0.0,0.0,0.0,63252.51796082814,0.10796969999955763,0.0,10,10,main,16;24;9;27;15;27;20;3;13;27,9.094947017729282e-13,4.547473508864641e-13,0.0,0,0,0
2025-02-04,H24,36,06:00,2025-02-03,24.0,6,-1316.4928568348696,0.0,1316.4928568348696,0.0,0.0,3386.941027806465,11709.142727566032,0.34222030000000814,0.0,10,10,main,24;20;14;27;17;27;10;23;30;26,7.958078640513122e-13,2.7284841053187847e-12,0.0,0,0,0
2025-02-04,H24,72,12:00,2025-02-03,24.0,6,-635.2333596059614,34.81405616399726,670.0474157699587,2.1316282072803006e-14,29.020388576951405,1738.5718846476252,26919.550068787077,0.6411116000003858,0.0,10,10,main,24;26;29;29;28;29;25;23;29;9,9.094947017729282e-13,4.547473508864641e-13,0.0,0,0,0
2025-02-04,H24,108,18:00,2025-02-03,24.0,6,86.38476362873799,93.56566914069995,7.180905511961965,0.0,67.15291452829172,16.027766219508862,52578.58745254144,0.5605381000000307,6.645056536271166e-07,10,10,main,20;2;20;26;2;2;24;21;6;26,3.6197889130562544e-10,4.547473508864641e-13,0.0,0,0,0
2025-02-05,H24,0,00:00,2025-02-04,24.0,6,68610.46392394693,0.0,0.0,0.0,0.0,0.0,69498.74856967245,0.11467579999998634,0.0,10,10,main,11;22;28;25;28;30;27;20;11;2,9.094947017729282e-13,5.684341886080801e-13,0.0,0,0,0
2025-02-05,H24,36,06:00,2025-02-04,24.0,6,-694.603301431991,0.0,694.603301431991,3.524291969370097e-12,0.0,1552.9800802517757,12811.222214348978,0.9844029999999293,0.0,10,10,main,12;12;15;26;15;13;5;19;11;31,1.8189894035458565e-12,2.1600499167107046e-12,0.0,0,0,0
2025-02-05,H24,72,12:00,2025-02-04,24.0,6,-3956.069240906737,0.0,3956.069240906737,0.0,0.0,10342.11857303969,25810.78108187136,0.46580149999999776,0.0,10,10,main,26;16;14;23;30;23;23;30;30;19,1.1368683772161603e-12,5.400124791776761e-13,0.0,0,0,0
2025-02-05,H24,108,18:00,2025-02-04,24.0,6,422.1153889631368,422.45862330469686,0.3432343415600618,0.0,237.08105286038614,1.6072785837511674,47017.894610738214,0.16842040000028646,0.0,10,10,main,29;9;18;13;26;1;23;26;9;8,1.0231815394945443e-12,1.0231815394945443e-12,0.0,0,0,0
2025-02-06,H24,0,00:00,2025-02-05,24.0,6,59627.59415761796,0.0,0.0,0.0,0.0,0.0,60999.255380986935,0.14877700000033656,0.0,10,10,main,30;33;12;33;33;23;22;16;30;30,7.958078640513122e-13,3.979039320256561e-13,0.0,0,0,0
2025-02-06,H24,36,06:00,2025-02-05,24.0,6,-598.9876414251065,286.3661478231427,885.3537892482492,0.0,160.99829266914844,2395.1558032924404,10710.899512306925,0.12416450000000623,0.0,10,10,main,30;23;22;13;26;7;27;23;24;30,1.3145040611561853e-12,2.929301246012983e-11,0.0,0,0,0
2025-02-06,H24,72,12:00,2025-02-05,24.0,6,-836.0324821296592,212.7558308280448,1048.788312957704,0.0,125.80210562256462,3037.2341386991257,21590.080063259516,0.4221096999999645,0.0,10,10,main,17;31;28;29;29;22;27;33;28;14,1.3642420526593924e-12,3.979039320256561e-13,0.0,0,0,0
2025-02-06,H24,108,18:00,2025-02-05,24.0,6,314.31313815837797,323.4527509284856,9.139612770107673,0.0,188.90888583401374,22.038872029238632,21997.52743032457,0.16831760000013674,2.371143638497204e-07,10,10,main,23;2;26;27;8;7;21;9;29;30,9.094947017729282e-13,9.094947017729282e-13,0.0,0,0,0
2025-02-07,H24,0,00:00,2025-02-06,24.0,6,36678.185206424954,0.0,0.0,0.0,0.0,0.0,39821.21610665353,0.11776310000004742,0.0,10,10,main,19;23;29;12;25;33;9;13;28;33,2.0463630789890885e-12,8.739675649849232e-12,0.0,0,0,0
2025-02-07,H24,36,06:00,2025-02-06,24.0,6,-1610.297275779085,0.0,1610.297275779085,0.0,0.0,5172.265287259463,7042.469524297621,0.16847150000012334,0.0,10,10,main,30;26;34;19;30;16;8;14;20;28,9.094947017729282e-13,6.4827032630887516e-12,0.0,0,0,0
2025-02-07,H24,72,12:00,2025-02-06,24.0,6,-987.197711024889,0.0,987.197711024889,0.0,0.0,3731.965986925316,11455.444348637126,0.46284560000003694,0.0,10,10,main,5;12;21;28;34;26;23;25;30;30,2.2737367544323206e-12,2.9103830456733704e-11,0.0,0,0,0
2025-02-07,H24,108,18:00,2025-02-06,24.0,6,-162.75274081533917,0.0,162.75274081533917,0.0,0.0,363.8587920152302,21188.72401981909,0.24170589999994263,5.41494701995749e-07,10,10,main,1;23;19;33;4;2;22;28;21;23,2.0747847884194925e-12,1.1368683772161603e-12,0.0,0,0,0
2025-02-08,H24,0,00:00,2025-02-07,24.0,6,30295.801073905706,0.0,0.0,0.0,0.0,0.0,31757.594089903578,0.11170940000010887,0.0,10,10,main,10;11;27;28;25;24;25;12;35;9,1.0231815394945443e-12,2.7284841053187847e-12,0.0,0,0,0
2025-02-08,H24,36,06:00,2025-02-07,24.0,6,-49.026774223157275,189.3960913888576,238.42286561201487,1.4210854715202004e-14,291.9660000363506,671.0016359101903,11243.944694897496,0.15807459999996354,0.0,10,10,main,29;7;16;25;28;5;23;32;27;29,8.952838470577262e-13,2.8421709430404007e-13,0.0,0,0,0
2025-02-08,H24,72,12:00,2025-02-07,24.0,6,-1253.12668000699,0.0,1253.12668000699,0.0,0.0,4244.272752231683,26741.502622008516,0.14017310000008365,0.0,10,10,main,17;19;28;35;33;17;19;11;26;26,9.094947017729282e-13,3.410605131648481e-13,0.0,0,0,0
2025-02-08,H24,108,18:00,2025-02-07,24.0,6,-102.21461514145639,0.0,102.21461514145639,0.0,0.0,311.6141105223824,44026.909532434925,0.17304220000005444,0.0,10,10,main,29;16;32;24;18;23;31;8;18;33,1.0231815394945443e-12,1.5916157281026244e-12,0.0,0,0,0
2025-02-09,H24,0,00:00,2025-02-08,24.0,6,52692.817115378355,0.0,0.0,0.0,0.0,0.0,57638.131422786144,0.13265940000019327,0.0,10,10,main,26;14;34;3;8;33;26;20;23;11,1.7053025658242404e-12,1.3642420526593924e-12,0.0,0,0,0
2025-02-09,H24,36,06:00,2025-02-08,24.0,6,2955.461425194334,2968.437129306659,12.975704112324706,1.4210854715202004e-14,3191.8755990131986,61.35881385028256,26421.8547580246,0.17516470000009576,0.0,10,10,main,1;4;16;19;23;34;12;30;25;15,3.709033080667723e-12,2.8421709430404007e-12,0.0,0,0,0
2025-02-09,H24,72,12:00,2025-02-08,24.0,6,5830.754604193611,6199.9954180085715,369.24081381496023,0.0,4410.124628368385,1292.1833850664561,35594.70084802003,0.12962880000031873,0.0,10,10,main,6;10;5;26;22;36;30;25;24;25,2.3874235921539366e-12,3.410605131648481e-13,0.0,0,0,0
2025-02-09,H24,108,18:00,2025-02-08,24.0,6,666.2799891654689,666.8402760096978,0.5602868442288883,0.0,388.96286108804986,0.8948839550054117,43875.98456655914,0.2596354000002066,0.0,10,10,main,34;18;24;13;25;26;22;12;33;1,1.7195134205394424e-12,9.094947017729282e-13,0.0,0,0,0
2025-02-10,H24,0,00:00,2025-02-09,24.0,6,54363.173630414814,0.0,0.0,0.0,0.0,0.0,56109.71912683934,0.1540050000003248,0.0,10,10,main,13;33;29;23;36;27;33;30;37;32,1.8189894035458565e-12,1.1368683772161603e-12,0.0,0,0,0
2025-02-10,H24,36,06:00,2025-02-09,24.0,6,-1624.6762548528868,0.0,1624.6762548528868,0.0,0.0,4943.534850095437,9342.899291389343,0.12866859999985536,0.0,10,10,main,29;22;16;33;34;34;26;19;35;33,1.2505552149377763e-12,1.2505552149377763e-12,0.0,0,0,0
2025-02-10,H24,72,12:00,2025-02-09,24.0,6,1544.9751129611582,1717.8528002690334,172.87768730787522,0.0,1494.6189740824425,588.378701610344,24906.052764953616,0.2925619000002371,0.0,10,10,main,34;25;35;22;2;34;35;33;35;35,1.7621459846850485e-12,5.115907697472721e-12,0.0,0,0,0
2025-02-10,H24,108,18:00,2025-02-09,24.0,6,504.1679842055448,504.1679842055448,0.0,0.0,302.3889291350615,0.0,36083.37978884249,0.17882090000011885,0.0,10,10,main,5;29;25;37;30;35;33;32;37;36,1.8189894035458565e-12,3.979039320256561e-13,0.0,0,0,0
