date,policy,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s
2025-02-01,H24,41115.37974554856,-4028.073854891179,0.0,37087.305890657386,0.0,0,8329.703148596547,1.2615512000002127
2025-02-02,H24,57410.098261350155,1159.8545564893038,2364.9571942058046,60934.910012045264,609.4618679315736,21,8694.975993700833,2.403513799999928
2025-02-03,H24,60297.481589592746,1848.1294112574374,817.7620097577637,62963.373010607946,210.88750309748306,8,9334.010836022555,2.2421139000002768
2025-02-04,H24,62396.49714740237,-1865.341452812093,3254.5417566450114,63785.69745123529,755.0463697837667,27,9666.890964539736,1.6518396999999823
2025-02-05,H24,68610.46392394693,-4228.557153375591,1612.175757701334,65994.08252827267,341.3730561641911,15,9752.31287514317,1.7333007000001999
2025-02-06,H24,59627.59415761796,-1120.7069853963876,1732.4753461567775,60239.362518378344,515.333396582628,28,10052.504905835976,0.863368800000444
2025-02-07,H24,36678.185206424954,-2760.247727619313,926.1460995415592,34844.08357834721,155.7664875091166,5,10800.0,0.9907861000001503
2025-02-08,H24,30295.801073905706,-1404.3680693716035,38.34690123303362,28929.779905767136,9.620396696696844,1,10800.0,0.5829993000002105
2025-02-09,H24,52692.817115378355,9452.496018553415,2214.717636928369,64360.03077086014,677.0902507754997,30,10800.0,0.6970883000008143
2025-02-10,H24,54363.173630414814,424.4668423138162,1145.40318141712,55933.043654145746,346.0171952910464,25,10800.0,0.7540564000005361
2025-02-11,H24,59582.19987143384,-1312.1596547190818,586.1018899221073,58856.14210663687,148.9594815970223,11,10800.0,0.5291281999998318
2025-02-12,H24,63834.92254340905,-5233.727706104155,2133.252667631089,60734.44750493598,476.5234742078088,17,10800.0,0.5867462999995041
2025-02-13,H24,56483.29001522147,-2892.9473011688624,878.4817304522958,54468.824444504906,184.00761849705117,12,10800.0,1.0479583999995157
2025-02-14,H24,28513.674254068483,-897.1282254663946,0.0,27616.54602860209,0.0,0,10800.0,0.4572140999998737
