date,policy,total_cost_yuan,regular_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s,max_mip_gap,wall_time_s
2025-02-01,24h,33164.35006450109,31303.768255026094,29725.630468663407,1578.1377863626863,1860.5818094750011,451.8108952380954,8,10010.003765432097,1.2718547992408276,0.0,0.056489800015697256
2025-02-02,24h,113181.35832632077,41215.77734334796,36913.87777327946,4301.899570068495,71965.58098297281,15385.771034343317,113,8026.455983611914,1.1746511998353526,0.0,0.05575909998151474
2025-02-03,24h,71358.98567999717,54241.97800668858,54970.759686143414,-728.7816794548357,17117.007673308595,3676.237251594233,57,8560.556768800796,1.1243736004689708,0.0,0.05582380000851117
2025-02-04,24h,66444.87780541189,56264.872372371865,57135.68630240564,-870.8139300337691,10180.005433040025,2175.518994170615,38,8623.007930167149,1.1226059985347092,0.0,0.051213800004916266
2025-02-05,24h,69377.0377871136,54229.772824549706,52414.32481391551,1815.4480106341955,15147.264962563891,3157.1825640960096,58,8533.670789704798,1.1580372001044452,0.0,0.054577200004132465
2025-02-06,24h,69036.99681803532,54730.3969329851,56639.60501819757,-1909.2080852124711,14306.599885050207,2914.629957952923,47,8619.685351867647,1.188306000083685,0.0,0.052482099999906495
2025-02-07,24h,33694.28454675187,33139.82331020283,33988.09668539748,-848.2733751946533,554.4612365490373,135.34616618516645,3,10291.805413196607,1.199235598440282,0.0,0.05404109999653883
2025-02-08,24h,28614.596645567523,23169.570954764487,21540.196001722485,1629.3749530420025,5445.025690803033,1236.5531056981256,19,9017.309761487924,1.0570535991573706,0.0,0.05158749999827705
2025-02-09,24h,89462.20786594026,46752.74399578352,44795.489692025,1957.2543037585222,42709.46387015674,9240.37755264248,102,8205.546588479916,1.2289536005118862,0.0,0.05320870000286959
2025-02-10,24h,69615.7269924701,51869.892488962934,49639.775419700236,2230.1170692626993,17745.83450350717,3828.0164760981725,70,8418.889301016154,1.1001419993117452,0.0,0.05162169999675825
2025-02-11,24h,71253.89327116881,49446.86650831499,49930.29903440838,-483.4325260933923,21807.02676285382,4538.382634136543,78,8480.059083320279,1.1509703997289762,0.0,0.052711700001964346
2025-02-12,24h,71096.27530909752,49601.084615587024,50211.87616220064,-610.7915466136155,21495.1906935105,4493.703979630215,72,8454.091954051282,1.2059315980877727,0.0,0.04967550002038479
2025-02-13,24h,68521.49985008521,47811.549543749956,46198.84527456663,1612.7042691833285,20709.95030633526,4523.324753928349,70,8522.498030041956,1.0616399995051324,0.0,0.04531390001648106
2025-02-14,24h,29973.875685972194,27099.000274798927,26658.33983301385,440.6604417850742,2874.8754111732665,682.571152811971,11,8320.86424064224,0.9508464003447443,0.0,0.04624649998731911
2025-02-15,24h,26887.15883936306,22304.68982719241,21598.6708453109,706.0189818815119,4582.46901217065,1072.6594556379844,23,9018.05774013446,1.1213460004655644,0.0,0.04857189999893308
2025-02-16,24h,91036.19793547127,45002.653118963586,44368.869692162654,633.7834268009285,46033.54481650768,9838.25742409132,104,8221.405401037806,1.1704860005993396,0.0,0.05250019999220967
