date,24h,48h,delta_24h_minus_48h_yuan
2025-02-01,33164.35006450109,32563.375064501095,600.9749999999985
2025-02-02,113181.35832632077,112834.96798737701,346.3903389437619
2025-02-03,71358.98567999717,71235.42929212959,123.55638786758936
2025-02-04,66444.87780541189,66442.3864079749,2.4913974369846983
2025-02-05,69377.0377871136,69359.80791559415,17.229871519448352
2025-02-06,69036.99681803532,69033.14312440564,3.8536936296732165
2025-02-07,33694.28454675187,33394.6388037111,299.64574304076814
2025-02-08,28614.596645567523,27753.6984343274,860.8982112401209
2025-02-09,89462.20786594026,89351.51731086723,110.69055507302983
2025-02-10,69615.7269924701,69534.43598735137,81.29100511872093
2025-02-11,71253.89327116881,71222.95114620864,30.942124960172805
2025-02-12,71096.27530909752,71079.76925276112,16.506056336394977
2025-02-13,68521.49985008521,68215.66555124133,305.8342988438817
2025-02-14,29973.875685972194,29690.409227975673,283.46645799652106
2025-02-15,26887.15883936306,26489.828116029,397.33072333406017
2025-02-16,91036.19793547127,90925.32990168713,110.86803378413606
2025-02-17,65127.68712540483,65050.13880004975,77.5483253550774
2025-02-18,63119.16978754869,63096.855021991716,22.314765556977363
2025-02-19,70085.19057928167,70083.85994139864,1.3306378830311587
2025-02-20,68461.23215178896,67864.18642567843,597.045726110533
2025-02-21,26923.345846441567,26750.87851717874,172.46732926282857
2025-02-22,26951.729370130604,25758.579587165586,1193.149782965018
2025-02-23,81958.0984567189,81834.94507367894,123.15338303995668
2025-02-24,63725.65257877815,63649.134086066675,76.51849271147512
2025-02-25,65050.31156753503,65047.65608060489,2.6554869301398867
2025-02-26,64486.71397769927,64457.51429597811,29.19968172116205
2025-02-27,64076.431389069985,63286.37974498767,790.0516440823121
2025-02-28,27616.528801029228,27091.93206882209,524.5967322071374
2025-03-01,22720.55745860284,22158.79896964143,561.7584889614118
2025-03-02,74316.24410985196,74199.5466712362,116.69743861576717
2025-03-03,65552.9264604244,65494.49569894245,58.43076148194086
2025-03-04,58259.066454428816,58256.842922187716,2.223532241099747
2025-03-05,57276.594883092395,57257.55212214429,19.042760948104842
2025-03-06,57784.7869561155,57916.22947765241,-131.44252153690468
2025-03-07,25605.0010213209,25393.718797593858,211.28222372704113
2025-03-08,26934.727551698714,25749.801397178657,1184.926154520057
2025-03-09,74675.6323136675,74666.97193598392,8.660377683583647
2025-03-10,63712.384582882034,63647.60197730103,64.78260558100737
2025-03-11,61359.352314930395,61111.83955763491,247.51275729548797
2025-03-12,61242.886746778735,61042.040017890045,200.84672888868954
2025-03-13,62355.95271260475,62837.38537365066,-481.4326610459102
2025-03-14,24592.87681311656,25912.447916675137,-1319.5711035585773
2025-03-15,25792.214478256603,24774.756931374053,1017.4575468825497
2025-03-16,69352.01687700278,69031.68956389526,320.3273131075257
2025-03-17,53878.4755672968,53794.387611201,84.08795609580557
2025-03-18,58269.203138133686,58149.61840400411,119.58473412957392
2025-03-19,56722.170339765915,56822.067393063364,-99.89705329744902
2025-03-20,62774.83014620906,63465.47685807526,-690.6467118661967
2025-03-21,23490.066857708982,25360.380101937273,-1870.3132442282913
2025-03-22,26659.341830785626,25488.33407276607,1171.0077580195575
2025-03-23,68320.31079337893,68154.55781145749,165.75298192143964
2025-03-24,56756.01057307278,56701.58429376097,54.426279311810504
2025-03-25,61949.89971503148,61808.19322391288,141.70649111860257
2025-03-26,55064.01449178522,54569.81826425739,494.1962275278347
2025-03-27,57343.262293059815,58060.6050092783,-717.3427162184817
2025-03-28,22220.869464317904,23863.44685079397,-1642.5773864760667
2025-03-29,21997.873469318583,21514.330548733553,483.5429205850305
2025-03-30,60110.59564587254,59746.929316687456,363.6663291850855
2025-03-31,57581.64630931625,56496.762147099806,1084.8841622164473
2025-04-01,56545.24173879692,56118.65412138139,426.58761741552735
2025-04-02,54896.448005896265,54523.93646295763,372.5115429386351
2025-04-03,52347.89341022358,53034.131675203054,-686.2382649794745
2025-04-04,21317.983253548013,23610.65988039277,-2292.6766268447573
2025-04-05,23972.70955347511,22523.228587087695,1449.4809663874148
2025-04-06,56433.12157447377,55961.709227137064,471.41234733670717
2025-04-07,55506.618576525,54741.759333241316,764.8592432836813
2025-04-08,52708.437845298395,52147.85807335209,560.579771946308
2025-04-09,53429.276083437144,53409.382280313424,19.893803123719408
2025-04-10,54586.957276806046,55579.00143428953,-992.044157483484
2025-04-11,22256.60945578241,24695.82815608309,-2439.21870030068
2025-04-12,22468.772827242727,22508.829486114068,-40.056658871340915
2025-04-13,62886.365358509385,61744.4172018729,1141.9481566364848
2025-04-14,48568.8712799716,48466.10537415015,102.76590582144854
2025-04-15,52929.85281795153,51944.06644595585,985.7863719956804
2025-04-16,57114.943908189525,56695.81415035554,419.12975783398724
2025-04-17,50849.62926430676,51920.493140140774,-1070.8638758340167
2025-04-18,19353.316265192585,21936.505530485556,-2583.189265292971
2025-04-19,20857.535225400017,20830.405357117153,27.129868282863754
2025-04-20,59996.31525982567,60730.28357516208,-733.9683153364094
2025-04-21,48392.87920309546,47272.71556118514,1120.163641910316
2025-04-22,52129.559553526225,51982.98606902233,146.5734845038969
2025-04-23,53167.18327843786,52611.99907902198,555.1841994158749
2025-04-24,47494.037380831505,48944.05661876367,-1450.019237932167
2025-04-25,19849.265282017368,22642.727430850282,-2793.462148832914
2025-04-26,21890.92937656592,21463.810717188633,427.11865937728726
2025-04-27,60763.961299041875,60524.981178969414,238.98012007246143
2025-04-28,54972.969417534405,53900.89609363722,1072.073323897188
2025-04-29,47984.86209189844,46904.14868013795,1080.7134117604874
