date,policy,t,issue_slot,price_yuan_per_kwh,load_kw,pv_kw,committed_grid_kwh,baseline_grid_kwh,adjustment_grid_kwh,charge_exec_kwh,discharge_exec_kwh,emergency_kwh,surplus_kwh,E_start_kwh,E_end_kwh,emergency_cost_yuan
2025-02-01,H24,0,0,0.4248,2532.1822,0.0,1366.780988001291,1366.780988001291,0.0,833.3333333333333,0.0,0.0,111.41728800129113,6000.0,6750.0,0.0
2025-02-01,H24,1,0,0.4245,2492.4439,0.0,1364.2853983853192,1364.2853983853192,0.0,833.3333333333333,0.0,0.0,115.54474838531928,6750.0,7500.0,0.0
2025-02-01,H24,2,0,0.4269,2464.3,0.0,1365.325527889747,1365.325527889747,0.0,833.3333333333333,0.0,0.0,121.27552788974708,7500.0,8250.0,0.0
2025-02-01,H24,3,0,0.4272,2581.7688,0.0,1380.4695312819765,1380.4695312819765,0.0,833.3333333333333,0.0,0.0,116.84139794864336,8250.0,9000.0,0.0
2025-02-01,H24,4,0,0.4271,2546.4635,0.0,1380.3061115337384,1380.3061115337384,0.0,833.3333333333333,0.0,0.0,122.56219486707187,9000.0,9750.0,0.0
2025-02-01,H24,5,0,0.4285,2436.31,0.0,544.3014711135654,544.3014711135654,0.0,0.0,0.0,0.0,138.2498044468988,9750.0,9750.0,0.0
2025-02-01,H24,6,0,0.4311,2620.5011,0.0,551.1261752061374,551.1261752061374,0.0,0.0,0.0,0.0,114.3759918728041,9750.0,9750.0,0.0
2025-02-01,H24,7,0,0.4302,2710.7861,0.0,556.5339355705588,556.5339355705588,0.0,0.0,0.0,0.0,104.73625223722553,9750.0,9750.0,0.0
2025-02-01,H24,8,0,0.4279,2676.48,0.0,877.0423708329788,877.0423708329788,0.0,333.3333333333333,0.0,0.0,97.6290374996455,9750.0,10050.0,0.0
2025-02-01,H24,9,0,0.4312,2830.598,0.0,575.8267803813693,575.8267803813693,0.0,0.0,0.0,0.0,104.060447048036,10050.0,10050.0,0.0
2025-02-01,H24,10,0,0.4333,2688.1558,0.0,577.5611345803859,577.5611345803859,0.0,0.0,0.0,0.0,129.53516791371925,10050.0,10050.0,0.0
2025-02-01,H24,11,0,0.4311,2384.42,0.0,563.1151418095482,563.1151418095482,0.0,0.0,0.0,0.0,165.71180847621486,10050.0,10050.0,0.0
2025-02-01,H24,12,0,0.4293,2604.5438,0.0,567.3734061075806,567.3734061075806,0.0,0.0,0.0,0.0,133.28277277424735,10050.0,10050.0,0.0
2025-02-01,H24,13,0,0.4324,2943.3655,0.0,588.7635447833748,588.7635447833748,0.0,0.0,0.0,0.0,98.20262811670813,10050.0,10050.0,0.0
2025-02-01,H24,14,0,0.4367,3019.32,0.0,579.1188367177608,579.1188367177608,0.0,0.0,0.0,0.0,75.89883671776079,10050.0,10050.0,0.0
2025-02-01,H24,15,0,0.4348,2844.4369,0.0,579.6687793149968,579.6687793149968,0.0,0.0,0.0,0.0,105.5959626483301,10050.0,10050.0,0.0
2025-02-01,H24,16,0,0.4335,2768.3064,0.0,573.8802254577852,573.8802254577852,0.0,0.0,0.0,0.0,112.4958254577852,10050.0,10050.0,0.0
2025-02-01,H24,17,0,0.4357,2861.65,0.0,593.6610899548931,593.6610899548931,0.0,0.0,0.0,0.0,116.71942328822644,10050.0,10050.0,0.0
2025-02-01,H24,18,0,0.4374,2900.3973,0.0,602.5358777671078,602.5358777671078,0.0,0.0,0.0,0.0,119.13632776710779,10050.0,10050.0,0.0
2025-02-01,H24,19,0,0.4371,2919.6115,0.0,598.0721038940123,598.0721038940123,0.0,0.0,0.0,0.0,111.47018722734572,10050.0,10050.0,0.0
2025-02-01,H24,20,0,0.4356,2993.09,0.0,628.7120682427858,628.7120682427858,0.0,0.0,0.0,0.0,129.86373490945243,10050.0,10050.0,0.0
2025-02-01,H24,21,0,0.4353,3109.8584,0.0,614.5674897421065,614.5674897421065,0.0,0.0,0.0,0.0,96.25775640877328,10050.0,10050.0,0.0
2025-02-01,H24,22,0,0.436,3054.8008,0.0,598.9950368167349,598.9950368167349,0.0,0.0,0.0,0.0,89.86157015006825,10050.0,10050.0,0.0
2025-02-01,H24,23,0,0.4378,2901.7,0.0,611.5726055364703,611.5726055364703,0.0,0.0,0.0,0.0,127.95593886980367,10050.0,10050.0,0.0
2025-02-01,H24,24,0,0.4401,2947.1208,0.0,636.6961927814746,636.6961927814746,0.0,0.0,0.0,0.0,145.50939278147456,10050.0,10050.0,0.0
2025-02-01,H24,25,0,0.4389,3027.8717,0.0,628.9162508025602,628.9162508025602,0.0,0.0,0.0,0.0,124.27096746922683,10050.0,10050.0,0.0
2025-02-01,H24,26,0,0.4364,3033.47,0.0,609.5633596360119,609.5633596360119,0.0,0.0,0.0,0.0,103.98502630267865,10050.0,10050.0,0.0
2025-02-01,H24,27,0,0.4393,3019.3858,0.0,638.6087206224702,638.6087206224702,0.0,0.0,0.0,0.0,135.37775395580354,10050.0,10050.0,0.0
2025-02-01,H24,28,0,0.4422,3017.0819,0.0014,639.9652207014889,639.9652207014889,0.0,0.0,0.0,0.0,137.11847070148883,10050.0,10050.0,0.0
2025-02-01,H24,29,0,0.4395,2997.85,0.0,610.1615504100924,610.1615504100924,0.0,0.0,0.0,0.0,110.5198837434258,10050.0,10050.0,0.0
2025-02-01,H24,30,0,0.4333,2932.7015,0.0,622.228201678372,622.228201678372,0.0,0.0,0.0,0.0,133.44461834503863,10050.0,10050.0,0.0
2025-02-01,H24,31,0,0.4439,2991.1125,0.0199,628.7832772978524,628.7832772978524,0.0,0.0,0.0,0.0,130.26784396451905,10050.0,10050.0,0.0
2025-02-01,H24,32,0,0.4301,3175.34,0.0,639.9980199085142,639.9980199085142,0.0,0.0,0.0,0.0,110.7746865751808,10050.0,10050.0,0.0
2025-02-01,H24,33,0,0.3713,3284.4619,0.0,1500.4173008970565,1500.4173008970565,0.0,833.3333333333333,0.0,0.0,119.67365089705663,10050.0,10800.0,0.0
2025-02-01,H24,34,0,0.5708,3187.3644,0.2774,701.9036008159574,701.9036008159574,0.0,-0.0,0.0,0.0,170.72243414929073,10800.0,10800.0,0.0
2025-02-01,H24,35,0,0.9099,3065.9,0.0,0.0,0.0,0.0,0.0,510.98333333333335,0.0,0.0,10800.0,10232.24074074074,0.0
2025-02-01,H24,36,36,0.9368,3211.1231,0.0,0.0,0.0,0.0,0.0,535.1871833333332,0.0,0.0,10232.24074074074,9637.588314814815,0.0
2025-02-01,H24,37,36,0.8758,3203.9961,3.8641,0.0,0.0,0.0,0.0,533.3553333333333,0.0,0.0,9637.588314814815,9044.971277777779,0.0
2025-02-01,H24,38,36,0.8759,3027.12,0.0,0.0,0.0,0.0,0.0,504.52,0.0,0.0,9044.971277777779,8484.3935,0.0
2025-02-01,H24,39,36,0.8601,3117.3221,0.0,0.0,0.0,0.0,0.0,519.5536833333333,0.0,0.0,8484.3935,7907.1116296296295,0.0
2025-02-01,H24,40,36,0.8442,3398.49,89.6095,-0.0,717.3052835232829,-717.3052835232829,0.0,551.4800833333333,0.0,0.0,7907.1116296296295,7294.355981481482,0.0
2025-02-01,H24,41,36,0.8334,3652.75,340.5,-0.0,743.8518360045355,-743.8518360045355,0.0,552.0416666666666,0.0,0.0,7294.355981481482,6680.976351851852,0.0
