date,part,variant,initial_soc_kwh,final_soc_kwh,baseline_plan_cost_yuan,upward_adjustment_cost_yuan,downward_cancellation_refund_yuan,settled_normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,final_commitment_kwh,up_kwh,down_kwh,emergency_kwh,waste_kwh,charge_kwh,discharge_kwh,scenario_count_min
2025-02-01,q42,P1_bias2h,6000.0,10678.211803371853,24672.377527486868,0.0,0.0,24672.377527486868,0.0,24672.377527486868,54178.785381867165,54178.785381867165,0.0,0.0,0.0,11693.004525133405,20511.654212451384,12404.049289050958,30
2025-02-02,q42,P1_bias2h,10678.211803371853,5318.2034871604465,62635.23976259444,0.0,0.0,62635.23976259444,0.0,62635.23976259444,84113.61549957324,84113.61549957324,0.0,0.0,0.0,7837.335984298573,14442.152894025947,16522.15132875128,30
2025-02-03,q42,P1_bias2h,5318.2034871604465,6321.411297314038,69793.26985592068,0.0,0.0,69793.26985592068,0.0,69793.26985592068,93325.43755015521,93325.43755015521,0.0,0.0,0.0,8685.764583604629,18525.628617959734,14102.872151409152,30
2025-02-04,q42,P1_bias2h,6321.411297314038,6883.173041550568,71041.8641535053,0.0,0.0,71041.8641535053,0.0,71041.8641535053,94689.7885396569,94689.7885396569,0.0,0.0,0.0,9199.157775906442,19948.322336513607,15652.555522763145,30
2025-02-05,q42,P1_bias2h,6883.173041550568,6286.887414424971,66868.96562027288,0.0,0.0,66868.96562027288,0.0,66868.96562027288,89626.14853327989,89626.14853327989,0.0,0.0,0.0,5881.9372528754575,18591.796639390275,15596.01234231916,30
2025-02-06,q42,P1_bias2h,6286.887414424971,6894.499612435321,67056.21251154365,0.0,0.0,67056.21251154365,0.0,67056.21251154365,90213.40795387112,90213.40795387112,0.0,0.0,0.0,5159.289694165986,22295.84244646928,17512.781403430803,30
2025-02-07,q42,P1_bias2h,6894.499612435321,10609.728723620266,19975.00738273461,0.0,0.0,19975.00738273461,0.0,19975.00738273461,46111.239393375465,46111.239393375465,0.0,0.0,0.0,6702.867383890128,22415.716540801186,14813.02419798251,30
2025-02-08,q42,P1_bias2h,10609.728723620266,9949.44797868175,16143.66974624023,0.0,0.0,16143.66974624023,0.0,16143.66974624023,37459.95668328811,37459.95668328811,0.0,0.0,0.0,2609.774928521865,20354.061623917034,17081.042585817457,30
2025-02-09,q42,P1_bias2h,9949.44797868175,3574.888974522693,55005.14238832306,0.0,0.0,55005.14238832306,7444.337649786532,62449.48003810959,75521.05210354191,75521.05210354191,0.0,0.0,1197.0607642515922,0.0,15262.105288789382,18099.408387662552,30
2025-02-10,q42,P1_bias2h,3574.888974522693,7948.973160413245,59516.45023120198,0.0,0.0,59516.45023120198,0.0,59516.45023120198,86808.81492430661,86808.81492430661,0.0,0.0,0.0,4053.9160600638425,23639.92375583125,15211.66247492181,30
2025-02-11,q42,P1_bias2h,7948.973160413245,6473.791892727531,56798.95166299789,0.0,0.0,56798.95166299789,0.0,56798.95166299789,79984.0659516136,79984.0659516136,0.0,0.0,0.0,2350.799188777944,19685.961949576078,17273.29232007376,30
2025-02-12,q42,P1_bias2h,6473.791892727531,8749.02090313693,57676.70040665392,0.0,0.0,57676.70040665392,0.0,57676.70040665392,83703.16590815845,83703.16590815845,0.0,0.0,0.0,1852.0306358155701,23877.33173495312,17292.93259594357,30
2025-02-13,q42,P1_bias2h,8749.02090313693,9380.186140372243,53838.35474151308,0.0,0.0,53838.35474151308,0.0,53838.35474151308,78516.6326834813,78516.6326834813,0.0,0.0,0.0,2697.5943540777985,20639.52946960552,16149.970156868683,30
2025-02-14,q42,P1_bias2h,9380.186140372243,10741.839589046147,15880.478012046406,0.0,0.0,15880.478012046406,0.0,15880.478012046406,38460.989597079955,38460.989597079955,0.0,0.0,0.0,3122.926038135781,22688.282307742127,17152.020565464612,30
