id,class,degree
A001,A,4
A002,A,5
A003,A,4
A004,A,6
A005,A,5
A006,A,3
A007,A,4
A008,A,6
A009,A,5
A010,A,3
A011,A,4
A012,A,6
A013,A,5
A014,A,5
A015,A,4
A016,A,2
A017,A,4
A018,A,6
A019,A,2
A020,A,4
B001,B,4
B002,B,4
B003,B,4
B004,B,4
B005,B,5
B006,B,6
B007,B,5
B008,B,7
B009,B,8
B010,B,4
B011,B,7
B012,B,5
B013,B,7
B014,B,6
B015,B,6
B016,B,8
B017,B,4
B018,B,7
B019,B,3
B020,B,5
B021,B,7
B022,B,6
B023,B,7
B024,B,8
B025,B,2
B026,B,5
B027,B,8
B028,B,7
B029,B,7
B030,B,8
B031,B,6
B032,B,3
B033,B,6
B034,B,5
B035,B,7
B036,B,2
B037,B,5
B038,B,5
B039,B,4
B040,B,5
C001,C,2
C002,C,2
C003,C,1
C004,C,2
C005,C,2
C006,C,2
C007,C,0
C008,C,2
C009,C,3
C010,C,3
C011,C,1
C012,C,4
C013,C,3
C014,C,4
C015,C,3
C016,C,3
C017,C,4
C018,C,3
C019,C,4
C020,C,1
C021,C,3
C022,C,4
C023,C,3
C024,C,4
C025,C,5
C026,C,3
C027,C,6
C028,C,6
C029,C,4
C030,C,3
C031,C,4
C032,C,3
C033,C,6
C034,C,2
C035,C,1
C036,C,4
C037,C,4
C038,C,4
C039,C,4
C040,C,2
C041,C,3
C042,C,4
C043,C,6
C044,C,3
C045,C,2
C046,C,3
C047,C,2
C048,C,3
C049,C,5
C050,C,2
C051,C,5
C052,C,4
C053,C,4
C054,C,5
C055,C,4
C056,C,3
C057,C,4
C058,C,4
C059,C,2
C060,C,0
C061,C,3
C062,C,2
C063,C,2
C064,C,2
C065,C,4
C066,C,2
C067,C,5
C068,C,3
C069,C,5
C070,C,4
C071,C,3
C072,C,2
C073,C,4
C074,C,4
C075,C,5
C076,C,8
C077,C,5
C078,C,4
C079,C,4
C080,C,1
C081,C,1
C082,C,1
C083,C,1
C084,C,1
C085,C,3
C086,C,5
C087,C,2
C088,C,2
C089,C,2
C090,C,3
