experiment,days,cost_recomputed,cost_difference,balance_max,state_max,status
ALL_Kall_linear_bias0_physical_v3_1d,1,37859.48845417551,-7.275957614183426e-12,2.8421709430404007e-13,2.5011104298755527e-12,pass
ALL_Kall_linear_bias0_physical_v3_28d,28,1333563.743863311,0.0,4.547473508864641e-13,4.376943252282217e-12,pass
ALL_Kall_linear_bias0_physical_v3_334d,334,14705475.03627694,-1.862645149230957e-09,6.821210263296962e-13,4.547473508864641e-12,pass
ALL_Kall_linear_bias0_physical_v3_7d,7,372797.4592952415,-5.820766091346741e-11,4.547473508864641e-13,4.376943252282217e-12,pass
BLOCK_K0612_linear_bias0_physical_v3_334d,334,14680250.476764772,0.0,6.821210263296962e-13,4.575895218295045e-12,pass
BLOCK_K06_linear_bias0_physical_v3_334d,334,14911801.559981108,1.862645149230957e-09,7.958078640513122e-13,4.547473508864641e-12,pass
BLOCK_K0_linear_bias0_physical_v3_334d,334,15037480.854127519,0.0,6.821210263296962e-13,4.50195436485501e-12,pass
BLOCK_Kall_linear_bias0_physical_v3_1d,1,38023.89305469091,-7.275957614183426e-12,2.8421709430404007e-13,2.5011104298755527e-12,pass
BLOCK_Kall_linear_bias0_physical_v3_28d,28,1332323.079978106,0.0,4.547473508864641e-13,4.547473508864641e-12,pass
BLOCK_Kall_linear_bias0_physical_v3_334d,334,14666174.715801753,0.0,6.821210263296962e-13,4.547473508864641e-12,pass
BLOCK_Kall_linear_bias0_physical_v3_7d,7,373124.9625991459,-1.1641532182693481e-10,4.547473508864641e-13,4.376943252282217e-12,pass
BLOCK_Kall_linear_bias1_physical_v3_334d,334,14561796.030112805,-1.862645149230957e-09,6.821210263296962e-13,4.519051799434237e-12,pass
