day,issue_hour,scenario,historical_day
31,0,0,25
31,0,1,24
31,0,2,18
31,0,3,17
31,0,4,11
31,0,5,10
31,0,6,4
31,0,7,3
31,0,8,30
31,0,9,29
31,6,0,25
31,6,1,24
31,6,2,18
31,6,3,17
31,6,4,11
31,6,5,10
31,6,6,4
31,6,7,3
31,6,8,30
31,6,9,29
31,12,0,25
31,12,1,24
31,12,2,18
31,12,3,17
31,12,4,11
31,12,5,10
31,12,6,4
31,12,7,3
31,12,8,30
31,12,9,29
31,18,0,25
31,18,1,24
31,18,2,18
31,18,3,17
31,18,4,11
31,18,5,10
31,18,6,4
31,18,7,3
31,18,8,30
31,18,9,29
32,0,0,31
32,0,1,25
32,0,2,24
32,0,3,18
32,0,4,17
32,0,5,11
32,0,6,10
32,0,7,4
32,0,8,3
32,0,9,30
32,6,0,31
32,6,1,25
32,6,2,24
32,6,3,18
32,6,4,17
32,6,5,11
32,6,6,10
32,6,7,4
32,6,8,3
32,6,9,30
32,12,0,31
32,12,1,25
32,12,2,24
32,12,3,18
32,12,4,17
32,12,5,11
32,12,6,10
32,12,7,4
32,12,8,3
32,12,9,30
32,18,0,31
32,18,1,25
32,18,2,24
32,18,3,18
32,18,4,17
32,18,5,11
32,18,6,10
32,18,7,4
32,18,8,3
32,18,9,30
33,0,0,30
33,0,1,29
33,0,2,28
33,0,3,27
33,0,4,26
33,0,5,23
33,0,6,22
33,0,7,21
33,0,8,20
33,0,9,19
33,6,0,30
33,6,1,29
33,6,2,28
33,6,3,27
33,6,4,26
33,6,5,23
33,6,6,22
33,6,7,21
33,6,8,20
33,6,9,19
33,12,0,30
33,12,1,29
33,12,2,28
33,12,3,27
33,12,4,26
33,12,5,23
33,12,6,22
33,12,7,21
33,12,8,20
33,12,9,19
33,18,0,30
33,18,1,29
33,18,2,28
33,18,3,27
33,18,4,26
33,18,5,23
33,18,6,22
33,18,7,21
33,18,8,20
33,18,9,19
34,0,0,33
34,0,1,30
34,0,2,29
34,0,3,28
34,0,4,27
34,0,5,26
34,0,6,23
34,0,7,22
34,0,8,21
34,0,9,20
34,6,0,33
34,6,1,30
34,6,2,29
34,6,3,28
34,6,4,27
34,6,5,26
34,6,6,23
34,6,7,22
34,6,8,21
34,6,9,20
34,12,0,33
34,12,1,30
34,12,2,29
34,12,3,28
34,12,4,27
34,12,5,26
34,12,6,23
34,12,7,22
34,12,8,21
34,12,9,20
34,18,0,33
34,18,1,30
34,18,2,29
34,18,3,28
34,18,4,27
34,18,5,26
34,18,6,23
34,18,7,22
34,18,8,21
34,18,9,20
35,0,0,34
35,0,1,33
35,0,2,30
35,0,3,29
35,0,4,28
35,0,5,27
35,0,6,26
35,0,7,23
35,0,8,22
35,0,9,21
35,6,0,34
35,6,1,33
35,6,2,30
35,6,3,29
35,6,4,28
35,6,5,27
35,6,6,26
35,6,7,23
35,6,8,22
35,6,9,21
35,12,0,34
35,12,1,33
35,12,2,30
35,12,3,29
35,12,4,28
35,12,5,27
35,12,6,26
35,12,7,23
35,12,8,22
35,12,9,21
35,18,0,34
35,18,1,33
35,18,2,30
35,18,3,29
35,18,4,28
35,18,5,27
35,18,6,26
35,18,7,23
35,18,8,22
35,18,9,21
36,0,0,35
36,0,1,34
36,0,2,33
36,0,3,30
36,0,4,29
36,0,5,28
36,0,6,27
36,0,7,26
36,0,8,23
36,0,9,22
36,6,0,35
36,6,1,34
36,6,2,33
36,6,3,30
36,6,4,29
36,6,5,28
36,6,6,27
36,6,7,26
36,6,8,23
36,6,9,22
36,12,0,35
36,12,1,34
36,12,2,33
36,12,3,30
36,12,4,29
36,12,5,28
36,12,6,27
36,12,7,26
36,12,8,23
36,12,9,22
36,18,0,35
36,18,1,34
36,18,2,33
36,18,3,30
36,18,4,29
36,18,5,28
36,18,6,27
36,18,7,26
36,18,8,23
36,18,9,22
37,0,0,36
37,0,1,35
37,0,2,34
37,0,3,33
37,0,4,30
37,0,5,29
37,0,6,28
37,0,7,27
37,0,8,26
37,0,9,23
37,6,0,36
37,6,1,35
37,6,2,34
37,6,3,33
37,6,4,30
37,6,5,29
37,6,6,28
37,6,7,27
37,6,8,26
37,6,9,23
37,12,0,36
37,12,1,35
37,12,2,34
37,12,3,33
37,12,4,30
37,12,5,29
37,12,6,28
37,12,7,27
37,12,8,26
37,12,9,23
37,18,0,36
37,18,1,35
37,18,2,34
37,18,3,33
37,18,4,30
37,18,5,29
37,18,6,28
37,18,7,27
37,18,8,26
37,18,9,23
38,0,0,32
38,0,1,31
38,0,2,25
38,0,3,24
38,0,4,18
38,0,5,17
38,0,6,11
38,0,7,10
38,0,8,4
38,0,9,3
38,6,0,32
38,6,1,31
38,6,2,25
38,6,3,24
38,6,4,18
38,6,5,17
38,6,6,11
38,6,7,10
38,6,8,4
38,6,9,3
38,12,0,32
38,12,1,31
38,12,2,25
