price,load_kw,pv_kw,net_load_kwh
0.4248,3439.8466,0.0,573.3077666666666
0.4245,3437.9792,0.0,572.9965333333333
0.4269,3444.3031,0.0,574.0505166666667
0.4272,3454.4437,0.0,575.7406166666666
0.4271,3458.8273,0.0,576.4712166666666
0.4285,3459.8401,0.0,576.6400166666666
0.4311,3467.1582,0.0,577.8597
0.4302,3467.9632,0.0,577.9938666666667
0.4279,3466.9683,0.0,577.82805
0.4312,3482.4927,0.0,580.41545
0.4333,3495.0841,0.0,582.5140166666666
0.4311,3498.4443,0.0,583.0740499999999
0.4293,3505.2295,0.0,584.2049166666666
0.4324,3512.6387,0.0,585.4397833333333
0.4367,3516.8685,0.0,586.1447499999999
0.4348,3517.9246,0.0,586.3207666666666
0.4335,3518.5518,0.0,586.4253
0.4357,3521.0976,0.0,586.8496
0.4374,3526.9261,0.0,587.8210166666667
0.4371,3537.2854,0.0,589.5475666666666
0.4356,3544.8808,0.0,590.8134666666666
0.4353,3541.2787,0.0,590.2131166666666
0.436,3546.3976,0.0,591.0662666666666
0.4378,3560.207,0.0,593.3678333333332
0.4401,3561.9581,0.0,593.6596833333333
0.4389,3556.7183,0.0,592.7863833333333
0.4364,3560.0272,0.0,593.3378666666666
0.4393,3580.654,0.5994,596.6757666666666
0.4422,3586.916,0.2345,597.78025
0.4395,3571.2635,0.2885,595.1624999999999
0.4333,3562.3171,18.6781,590.6065
0.4439,3591.3809,54.4698,589.4851833333333
0.4301,3579.7045,108.9718,578.4554499999999
0.3713,3486.119,184.1603,550.3264499999999
0.5708,3823.8994,277.0582,591.1401999999999
0.9099,4398.0727,388.5494,668.2538833333332
0.9368,4454.0123,521.2803,655.4553333333333
0.8758,4371.7919,672.7677,616.5040333333334
0.8759,4392.953,844.2261,591.4544833333334
0.8601,4384.5956,1039.6744,557.4868666666666
0.8442,4434.7757,1259.3375,529.2397
0.8334,4523.4561,1508.6318,502.4707166666667
0.8092,4524.0721,1791.4107,455.4435666666667
0.7972,4545.8867,2085.4865,410.0667
0.7644,4523.2418,2381.2611,356.99678333333327
0.6899,4383.3566,2683.1752,283.36356666666666
0.86,4910.4599,2986.3552,320.68411666666657
1.1617,5799.7327,3289.204,418.42144999999994
1.1683,5884.826,3593.3613,381.91078333333326
1.0956,5748.0713,3890.7332,309.55634999999995
1.0849,5769.0581,4181.3417,264.61940000000004
1.061,5754.2105,4471.7657,213.74080000000004
1.043,5824.1807,4752.8272,178.55891666666673
1.036,5954.2601,5021.9074,155.39211666666677
1.0147,5958.9696,5285.4126,112.25950000000012
0.9922,5929.5554,5543.1742,64.3968666666666
0.97,5923.7828,5788.4093,22.56224999999995
0.9422,5907.586,6012.1304,-17.42406666666659
0.9569,5899.1262,6216.1528,-52.83776666666654
0.9977,5902.2196,6409.5941,-84.56241666666665
0.9919,5897.4793,6599.3808,-116.9835833333334
0.9588,5886.7568,6766.7204,-146.66060000000004
0.9549,5873.4708,6914.5923,-173.52024999999992
0.9839,5858.0308,7064.2053,-201.02908333333323
0.799,5844.9948,7197.4315,-225.40611666666655
0.5025,5839.0587,7303.1142,-244.00925000000007
0.4662,5838.7103,7387.6848,-258.1624166666668
0.5007,5823.4378,7459.227,-272.6315333333332
0.4827,5814.7932,7520.7191,-284.3209833333333
0.4785,5832.3951,7568.2039,-289.3014666666668
0.4662,5712.901,7592.1539,-313.20881666666673
0.4432,5519.4607,7601.0433,-346.9304333333333
0.4411,5494.7907,7612.316,-352.92088333333334
0.4551,5514.4524,7602.6524,-348.0333333333333
0.4463,5485.829,7554.1872,-344.72636666666665
0.4113,5462.3628,7472.7384,-335.0626000000001
0.5682,5566.1066,7393.4172,-304.5517666666665
0.8279,5725.7548,7312.7979,-264.5071833333334
0.8636,5739.4957,7194.541,-242.50754999999992
0.8416,5714.6836,7053.1371,-223.07558333333316
0.8618,5717.8505,6910.4064,-198.75931666666656
0.8623,5708.2486,6772.4075,-177.3598166666668
0.9026,5696.9182,6607.36,-151.74029999999982
0.9754,5692.2983,6412.5085,-120.0350333333331
1.0002,5687.1291,6214.0158,-87.81445000000008
0.9978,5678.962,6000.7112,-53.62486666666655
1.0271,5669.4508,5766.9816,-16.255133333333447
1.0906,5664.1948,5521.5066,23.781366666666713
0.9376,5672.7011,5268.781,67.32001666666679
0.6694,5682.2544,5009.7152,112.0898666666667
0.66,5669.0195,4743.4484,154.26184999999998
0.7217,5656.3651,4471.224,197.52351666666664
0.7308,5657.0867,4188.2025,244.8140333333332
0.7534,5662.6008,3889.3931,295.5346166666667
0.7823,5669.2596,3594.5946,345.77750000000015
0.8055,5673.4767,3303.8878,394.9314833333333
0.8271,5671.0146,2998.4247,445.4316500000001
0.8519,5661.5926,2687.4131,495.69658333333325
0.8791,5665.8922,2383.1779,547.11905
0.9024,5689.0372,2089.1246,599.9854333333333
0.9163,5603.6614,1791.0829,635.4297499999999
0.9264,5466.7124,1501.7283,660.8306833333334
0.9462,5467.3939,1255.1723,702.0369333333333
0.9742,5464.727,1036.3323,738.0657833333333
0.9862,5492.4458,836.7775,775.9447166666666
0.976,5621.7308,665.2313,826.08325
1.0742,5091.2126,516.6758,762.4227999999999
