time_raw,price,load_kw,pv_kw,interval,grid_kwh,charge_kwh,discharge_kwh,curtail_kwh,E_start_kwh,E_end_kwh,z_charge
00:10:00,0.4248,3439.8466,0.0,0:00-0:10,1406.6410999999998,833.3333333333333,0.0,0.0,6000.0,6750.0,1
00:20:00,0.4245,3437.9792,0.0,0:10-0:20,1406.3298666666665,833.3333333333333,0.0,0.0,6750.0,7500.0,1
00:30:00,0.4269,3444.3031,0.0,0:20-0:30,1407.38385,833.3333333333333,0.0,0.0,7500.0,8250.0,1
00:40:00,0.4272,3454.4437,0.0,0:30-0:40,1409.07395,833.3333333333333,0.0,0.0,8250.0,9000.0,1
00:50:00,0.4271,3458.8273,0.0,0:40-0:50,1409.8045499999998,833.3333333333333,0.0,0.0,9000.0,9750.0,1
01:00:00,0.4285,3459.8401,0.0,0:50-1:00,576.6400166666666,0.0,0.0,0.0,9750.0,9750.0,0
01:10:00,0.4311,3467.1582,0.0,1:00-1:10,577.8597,0.0,0.0,0.0,9750.0,9750.0,0
01:20:00,0.4302,3467.9632,0.0,1:10-1:20,577.9938666666667,0.0,0.0,0.0,9750.0,9750.0,0
01:30:00,0.4279,3466.9683,0.0,1:20-1:30,911.1613833333333,333.3333333333333,0.0,0.0,9750.0,10050.0,1
01:40:00,0.4312,3482.4927,0.0,1:30-1:40,580.41545,0.0,0.0,0.0,10050.0,10050.0,0
01:50:00,0.4333,3495.0841,0.0,1:40-1:50,582.5140166666666,0.0,0.0,0.0,10050.0,10050.0,0
02:00:00,0.4311,3498.4443,0.0,1:50-2:00,583.0740499999999,0.0,0.0,0.0,10050.0,10050.0,0
02:10:00,0.4293,3505.2295,0.0,2:00-2:10,584.2049166666666,0.0,0.0,0.0,10050.0,10050.0,0
02:20:00,0.4324,3512.6387,0.0,2:10-2:20,585.4397833333333,0.0,0.0,0.0,10050.0,10050.0,0
02:30:00,0.4367,3516.8685,0.0,2:20-2:30,586.1447499999999,0.0,0.0,0.0,10050.0,10050.0,0
02:40:00,0.4348,3517.9246,0.0,2:30-2:40,586.3207666666666,0.0,0.0,0.0,10050.0,10050.0,0
02:50:00,0.4335,3518.5518,0.0,2:40-2:50,586.4253,0.0,0.0,0.0,10050.0,10050.0,0
03:00:00,0.4357,3521.0976,0.0,2:50-3:00,586.8496,0.0,0.0,0.0,10050.0,10050.0,0
03:10:00,0.4374,3526.9261,0.0,3:00-3:10,587.8210166666667,0.0,0.0,0.0,10050.0,10050.0,0
03:20:00,0.4371,3537.2854,0.0,3:10-3:20,589.5475666666666,0.0,0.0,0.0,10050.0,10050.0,0
03:30:00,0.4356,3544.8808,0.0,3:20-3:30,590.8134666666666,0.0,0.0,0.0,10050.0,10050.0,0
03:40:00,0.4353,3541.2787,0.0,3:30-3:40,590.2131166666666,0.0,0.0,0.0,10050.0,10050.0,0
03:50:00,0.436,3546.3976,0.0,3:40-3:50,591.0662666666666,0.0,0.0,0.0,10050.0,10050.0,0
04:00:00,0.4378,3560.207,0.0,3:50-4:00,593.3678333333332,0.0,0.0,0.0,10050.0,10050.0,0
04:10:00,0.4401,3561.9581,0.0,4:00-4:10,593.6596833333333,0.0,0.0,0.0,10050.0,10050.0,0
04:20:00,0.4389,3556.7183,0.0,4:10-4:20,592.7863833333333,0.0,0.0,0.0,10050.0,10050.0,0
04:30:00,0.4364,3560.0272,0.0,4:20-4:30,593.3378666666666,0.0,0.0,0.0,10050.0,10050.0,0
04:40:00,0.4393,3580.654,0.5994,4:30-4:40,596.6757666666666,0.0,0.0,0.0,10050.0,10050.0,0
04:50:00,0.4422,3586.916,0.2345,4:40-4:50,597.78025,0.0,0.0,0.0,10050.0,10050.0,0
05:00:00,0.4395,3571.2635,0.2885,4:50-5:00,595.1624999999999,0.0,0.0,0.0,10050.0,10050.0,0
05:10:00,0.4333,3562.3171,18.6781,5:00-5:10,590.6065,0.0,0.0,0.0,10050.0,10050.0,0
05:20:00,0.4439,3591.3809,54.4698,5:10-5:20,589.4851833333333,0.0,0.0,0.0,10050.0,10050.0,0
05:30:00,0.4301,3579.7045,108.9718,5:20-5:30,578.4554499999999,0.0,0.0,0.0,10050.0,10050.0,0
05:40:00,0.3713,3486.119,184.1603,5:30-5:40,1383.659783333333,833.3333333333333,0.0,0.0,10050.0,10800.0,1
05:50:00,0.5708,3823.8994,277.0582,5:40-5:50,591.1401999999999,0.0,0.0,0.0,10800.0,10800.0,0
06:00:00,0.9099,4398.0727,388.5494,5:50-6:00,0.0,0.0,668.2538833333332,0.0,10800.0,10057.495685185186,0
06:10:00,0.9368,4454.0123,521.2803,6:00-6:10,0.0,0.0,655.4553333333333,0.0,10057.495685185186,9329.211981481481,0
06:20:00,0.8758,4371.7919,672.7677,6:10-6:20,0.0,0.0,616.5040333333334,0.0,9329.211981481481,8644.2075,0
06:30:00,0.8759,4392.953,844.2261,6:20-6:30,0.0,0.0,591.4544833333334,0.0,8644.2075,7987.035851851852,0
06:40:00,0.8601,4384.5956,1039.6744,6:30-6:40,0.0,0.0,557.4868666666666,0.0,7987.035851851852,7367.606000000001,0
06:50:00,0.8442,4434.7757,1259.3375,6:40-6:50,0.0,0.0,529.2397,0.0,7367.606000000001,6779.561888888889,0
